,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
37,"
Queso en porciones Light La Vaca que ríe 24 ud.","
 24 Ud. |
8,51 €/kg","3,15 €",,,3x2
38,"
Queso cabra lonchas García Baquero 125 g.","
 125 G. |
19,12 €/kg","2,39 €",,,3x2
39,"
Queso rallado mozzarella Miraflores 250 g.","
 250 G. |
9,96 €/kg",,"
2,60 €","
2,49 €",2x1 Acumulación
40,"
Queso fresco cottage Protein Arla 200 g.","
 200 G. |
9,30 €/kg","1,86 €",,,5€ dto.
41,"
Queso fresco de cabra Burgo de Arias pack de 3 unidades de 70 g.","
 3x70 G. |
13,10 €/kg",,"
2,95 €","
2,75 €",2x1 Acumulación
42,"
Quesi semicurado mezcla García Baquero 200 g.","
 200 G. |
14,25 €/kg",,"
3,05 €","
2,85 €",3x2
43,"
Queso havarti light en lonchas Arla 150 g.","
 150 G. |
15,93 €/kg","2,39 €",,,5€ dto.
44,"
Queso rallado cheddar y mozzarella Finello Arla 150 g.","
 150 G. |
17,67 €/kg","2,65 €",,,5€ dto.
45,"
Apetina queso blanco dados en salmuera Arla 200 g.","
 200 G. |
13,75 €/kg","2,75 €",,,5€ dto.
46,"
Queso en lonchas suaves Burgo de Arias 125 g.","
 125 G. |
13,20 €/kg",,"
1,97 €","
1,65 €",2x1 Acumulación
47,"
Queso curado de oveja Legio cuña de 1/8, 300 g aprox","
 Envase De 300.0 G. Aprox |
9,95 €/kg",,"
3,28 €","
2,98 €",
48,"
Queso curado mezcla cuña ya cortado García Baquero 250 g","
 250 G |
18,60 €/kg","4,65 €",,,3x2
49,,,,,,
50,"
Queso mozzarella  rallada Carrefour 200 g.","
 200 G. |
6,00 €/kg","1,20 €",,,
51,"
Queso gouda holland en lonchas Carrefour 200 g.","
 Envase De |
5,65 €/kg","1,13 €",,,
52,"
Queso rallado emmental Carrefour 200 g.","
 200 G. |
5,55 €/kg","1,11 €",,,
53,"
Queso rallado cuatro quesos Carrefour 200 g.","
 200 G. |
8,80 €/kg","1,76 €",,,
54,"
Queso mozzarella Italiana Carrefour 125 g.","
 125 G. |
6,24 €/kg","0,78 €",,,
55,"
Queso rallado parmesano Carrefour 100 g.","
 100 G. |
18,70 €/kg","1,87 €",,,
56,"
Queso en lonchas Carrefour 400 g.","
 400 G. |
3,43 €/kg","1,37 €",,,
57,"
Queso mozzarella Italiana Galbani 125 g.","
 125 G |
12,00 €/kg","1,50 €",,,
58,"
Queso havarti en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
59,"
Queso tierno en lonchas Carrefour 200 g.","
 200 G. |
6,15 €/kg",,"
1,51 €","
1,23 €",
60,"
Queso edam holland en lonchas Carrefour 200 g.","
 200 G |
5,65 €/kg","1,13 €",,,
61,"
Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.","
 Pack 2x250 G. |
7,40 €/kg",,"
4,10 €","
3,70 €",2ª al -70%
62,"
Queso blanco pasteurizado natural Carrefour pack de 4 unidades de 62,5 g.","
 Pack De 4x62,5 G. |
3,96 €/kg","0,99 €",,,
63,"
Queso de untar Carrefour 300 g.","
 300 G. |
3,33 €/kg","1,00 €",,,
64,"
Queso de untar original Philadelphia 350 g","
 350 G. |
7,71 €/kg","2,70 €",,,
65,"
Queso brie 60% M.G Carrefour 200 g","
 Pieza De |
9,50 €/kg","1,90 €",,,
66,"
Queso rulo de cabra Carrefour 180 g","
 Pieza De |
11,11 €/kg","2,00 €",,,
67,"
Queso Roquefort  D.O.P Carrefour cuña 100 g","
 100 G |
14,50 €/kg","1,45 €",,,
68,"
Queso semicurado mezcla Granja de la Luz cuña 1/8, 375 g aprox","
 Cuña De 375.0 G. Aprox |
8,20 €/kg","3,07 €",,,
69,"
Queso rallado en polvo especial pasta El Caserío 100 g.","
 100 G. |
12,30 €/kg","1,23 €",,,
70,"
Queso fresco original Burgo de Arias pack de 6 unidades de 72 g.","
 6x72 G. |
8,56 €/kg",,"
3,90 €","
3,70 €",3x2
71,"
queso havarti light en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
72,"
Queso emmental taco Carrefour 250 g","
 250 G |
9,00 €/kg","2,25 €",,,
73,"
Queso semicurado mezcla García Baquero cuña 1/8, 420 g aprox","
 Cuña De  420.0 G. Aprox |
12,00 €/kg","5,04 €",,,
74,,,,,,
75,"
Ensaladilla congelada Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
76,"
Guisantes Carrefour 1 kg.","
 1 Kg. |
1,13 €/kg","1,13 €",,,
77,"
Filete de Merluza del Cabo Carrefour 600 g.","
 600 G. |
6,62 €/kg","3,97 €",,,
78,"
Corazones de filete de merluza ultracongelados Pescanova 500 g.","
 500 G. |
11,70 €/kg","5,85 €",,,3x2
79,"
Filetes de merluza sin piel Pescanova 400 g.","
 400 G. |
10,97 €/kg","4,39 €",,,
80,"
Judías verdes planas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
81,"
Gamba pelada pequeña congelada Pescatrade 400 g","
 400 G. |
12,38 €/kg","4,95 €",,,
82,"
Guisantes finos Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
83,"
Pimiento en tiras Carrefour 450 g.","
 450 G. |
2,22 €/kg","1,00 €",,,
84,"
Filetes de bacalao ultracongelado Pescanova 400 g.","
 400 G. |
14,75 €/kg",,"
6,99 €","
5,90 €",3x2
85,"
Coliflor congelada Carrefour 1 kg.","
 1 Kg. |
1,29 €/kg","1,29 €",,,
86,"
Espinacas cortadas en porciones Carrefour 400 g.","
 400 G. |
1,68 €/kg","0,67 €",,,
87,"
Cebolla Cubos Carrefour 400 g.","
 400 G. |
1,58 €/kg","0,63 €",,,
88,"
Gamba pelada grande Pescatrade 400 g","
 400 G. |
17,38 €/kg","6,95 €",,,
89,"
Ensaladilla Carrefour 1 kg.","
 1 Kg. |
0,70 €/kg","0,70 €",,,
90,"
Menestra de verduras Carrefour 1 kg.","
 1 Kg. |
1,09 €/kg","1,09 €",,,
91,"
Patatas fritas clásicas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
92,"
Filete de bacalao al punto sal ultracongelado Carrefour 400 g.","
 400 G. |
11,50 €/kg","4,60 €",,,
93,"
Preparado de paella de marisco congelado 600 g","
 600 G |
6,65 €/kg","3,99 €",,,
94,"
Medallones de merluza argentina congelados Carrefour 480 g.","
 480 G. |
4,15 €/kg","1,99 €",,,
95,"
Lomos salmón congelados Carrefour 480 g.","
 480 G. |
12,40 €/kg","5,95 €",,,
96,"
Patatas congeladas extra finas Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
97,"
Judía troceada Carrefour 1 kg.","
 1 Kg. |
1,03 €/kg","1,03 €",,,
98,"
Patatas fritas clásicas congeladas Carrefour 2,5 kg.","
 2,5 Kg. |
0,92 €/kg","2,31 €",,,
99,,,,,,
100,"
Queso semicurado mezcla ya cortado García Baquero cuña 1/8, 250 g","
 250 G. |
18,00 €/kg","4,50 €",,,3x2
101,"
Queso curado mezcla cuña ya cortado García Baquero 250 g","
 250 G |
18,60 €/kg","4,65 €",,,3x2
102,"
Queso curado mezcla ya cortado Gran Capitán cuña de 210 g","
 210 G |
20,48 €/kg","4,30 €",,,
103,"
Queso de mezcla semicurado Gran Capitán cuña cortada de 230 g aprox","
 230 G |
18,26 €/kg","4,20 €",,,
104,"
Queso tierno cuña ya cortada García Baquero 250 g","
 250 G |
16,40 €/kg","4,10 €",,,3x2
105,"
Tapa de 3 quesos: queso de mezcla viejo, queso de oveja y queso de mezcla curado madurados Juan Luna 150 g","
 150 G |
26,00 €/kg","3,90 €",,,
106,"
Queso de cabra ya cortado García Baquero 250 g","
 250 G |
18,40 €/kg","4,60 €",,,3x2
107,"
Queso semicurado mezcla ya cortado sin lactosa García Baquero cuña 200 g","
 200 G. |
20,25 €/kg","4,05 €",,,3x2
108,"
Queso puro de oveja viejo graso Flor de Esgueva tapas maestras ya cortado 210 g","
 210 G |
23,81 €/kg","5,00 €",,,
109,"
Queso reserva en cuña ya cortada García Baquero 200 g","
 200 G |
25,00 €/kg","5,00 €",,,3x2
110,"
Queso de mezcla tierno El Ventero cuña cortada de 250 g aprox","
 250 G. |
16,80 €/kg","4,20 €",,,
111,"
Queso semicurado mezcla light ya cortado García Baquero 250 g","
 250 G. |
18,20 €/kg","4,55 €",,,3x2
112,"
Tabla de queso de oveja en tapas Juan Luna 75 g","
 75 G |
26,67 €/kg","2,00 €",,,
113,"
Queso de oveja curado manchego artesano D.O.P. De Nuestra Tierra 125 g","
 125 G |
32,40 €/kg","4,05 €",,,3x2
114,"
Queso semicurado mezcla ya cortado Granja de la Luz 250 g","
 250 G. |
10,40 €/kg","2,60 €",,,
115,"
Queso havarti ya cortado Millán Vicente 250 g","
 250 G |
12,00 €/kg","3,00 €",,,
116,"
Queso curado mezcla ya cortado Granja la Luz 250 g","
 250 G |
11,20 €/kg","2,80 €",,,
117,"
Queso light ya cortadas El Ventero 250 g","
 250 G |
16,80 €/kg","4,20 €",,,
118,"
Queso tierno ya cortadas El Ventero 250 g","
 250 G. |
16,80 €/kg","4,20 €",,,
119,"
Queso cheddar naranja ya cortado Millán Vicente 250 g","
 250 G |
12,00 €/kg","3,00 €",,,
120,"
Queso oveja viejo reserva tapas ya cortado Granja de la Luz 250 g ","
 250 G |
15,96 €/kg","3,99 €",,,
121,"
Queso gouda ya cortado Millan Vicente 250 g","
 250 G |
12,00 €/kg","3,00 €",,,3x2
122,,,,,,
123,"
Queso Roquefort  D.O.P Carrefour cuña 100 g","
 100 G |
14,50 €/kg","1,45 €",,,
124,"
Queso azul semicurado Carrefour cuña de 180 g ","
 |
9,44 €/kg","1,70 €",,,
125,"
Queso azul Bleu de France Entremont 100 g","
 100 G |
16,50 €/kg","1,65 €",,,
126,"
Queso azul gorgonzola D.O.P. Hispano Italiana cuña 150 g","
 150 G 150.0 G. Aprox |
14,85 €/kg","2,23 €",,,
127,"
Queso azul de Bresse Carrefour cuña 250 g ","
 250 G |
11,00 €/kg","2,75 €",,,
128,"
Queso azul roquefort Societé Lactalis pack de 4 cuñas de 25 g","
 100 G |
30,00 €/kg","3,00 €",,,
129,"
Queso azul light en porciones La Vaca que ríe 250 g.","
 250 G. |
9,20 €/kg","2,30 €",,,
130,"
Queso azul Valdeón De Nuestra Tierra al corte 250 g aprox","
 250 G 250.0 G. Aprox |
17,50 €/kg","4,37 €",,,
131,"
Queso azul cremoso extragraso Cantorel al corte 150 g aprox","
 150 G 150.0 G. Aprox |
13,70 €/kg","2,05 €",,,
132,"
Queso azul Roquefort DOP Entremont 100 g","
 100 G |
29,50 €/kg","2,95 €",,,
133,"
Queso azul roquefort Societé cuña 130 g","
 130 G |
29,23 €/kg","3,80 €",,,
134,"
Queso azul cremoso Entremont 125 g","
 125 G |
15,60 €/kg","1,95 €",,,
135,"
Queso azul Blue Lazur sin gluten y sin lactosa 100 g.","
 100 G. |
20,00 €/kg","2,00 €",,,
136,"
Queso de oveja roquefort 150 g aprox","
 Envase De 150.0 G. Aprox |
30,80 €/kg","4,62 €",,,
137,"
Queso Blue D´auvergne AOP Reflets de France 125 g","
 Pieza De |
16,00 €/kg","2,00 €",,,
138,"
Queso azul cabrales D.O.P. Peñasanta 200 g aprox","
 200 G Aprox 150.0 G. Aprox |
18,95 €/kg","2,84 €",,,
139,"
Queso azul Fourmé d'Ambert DOP Entremont 150 g","
 150 G |
19,67 €/kg","2,95 €",,,
140,"
Queso azul roquefort Societé Lactalis cuña 200 g","
 200 G |
30,00 €/kg","6,00 €",,,
141,"
Queso azul Silver Lazur sin gluten y sin lactosa 100 g.","
 100 G. |
20,00 €/kg","2,00 €",,,
142,"
Queso roquefort Reflets de France 150 g","
 150 G |
30,67 €/kg","4,60 €",,,
143,,,,,,
144,"
Queso havarti en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
145,"
Queso edam holland en lonchas Carrefour 200 g.","
 200 G |
5,65 €/kg","1,13 €",,,
146,"
queso havarti light en lonchas Carrefour 200 g.","
 200 G. |
8,35 €/kg","1,67 €",,,
147,"
Queso cheddar en lonchas Carrefour 200 g.","
 200 G. |
7,95 €/kg","1,59 €",,,
148,"
Queso havarti en lonchas Arla 150 g.","
 150 G. |
15,93 €/kg","2,39 €",,,5€ dto.
149,"
Queso parmesano reggiano D.O.P. Parmeggio Hispano Italiana 200 g","
 200 G |
29,75 €/kg","5,95 €",,,
150,"
Queso havarti light en lonchas Arla 150 g.","
 150 G. |
15,93 €/kg","2,39 €",,,5€ dto.
151,"
Mezcla de quesos 'especial ensalada' Carrefour 200 g.","
 200 G. |
7,90 €/kg","1,58 €",,,
152,"
Queso comté D.O.P. 5 meses curación Carrefour cuña 250 g","
 Cuña De |
16,40 €/kg","4,10 €",,,
153,"
Queso havarti Loncha Millán Vicente 150 g.","
 150 G |
13,27 €/kg",,"
2,15 €","
1,99 €",2x1 Acumulación
154,"
Queso provolone con orégano Auricchio Hispano Italiana 200 g","
 200 G |
16,50 €/kg","3,30 €",,,
155,"
Queso Parmesano escama Carrefour 100 g.","
 100 G. |
19,80 €/kg","1,98 €",,,
156,"
Queso en lonchas Havarti 300 g.","
 300 G. |
12,17 €/kg","3,65 €",,,5€ dto.
157,"
Dados de queso Arla 150 g.","
 150 G. |
16,60 €/kg","2,49 €",,,5€ dto.
158,"
Queso cheddar en lonchas Arla 150 g.","
 150 G. |
15,93 €/kg","2,39 €",,,5€ dto.
159,"
Queso burguer con cheddar El Caserío 185 g.","
 185 G. |
8,97 €/kg","1,66 €",,,
160,"
Queso rallado cheddar","
 150 G. |
11,07 €/kg","1,66 €",,,
161,"
Queso fundido para hamburguesa Carrefour 300 g.","
 300 G. |
4,80 €/kg","1,44 €",,,
162,"
Queso parmesano reggiano Carrefour Bio 150 g","
 150 G |
39,67 €/kg","5,95 €",,,
163,"
Queso grana padano D.O.P. Carrefour 200 g","
 200 G |
17,25 €/kg","3,45 €",,,
164,"
Queso cheddar blanco curado extra mature Kerrygold 200 g","
 200 G |
19,75 €/kg","3,95 €",,,
165,"
Queso gruyere Francés D.O.P. Monts&Terroirs 200 g","
 200 G |
22,50 €/kg","4,50 €",,,
166,"
Queso rulo de cabra President 200 g aprox","
 Envase De 200.0 G. Aprox |
19,40 €/kg","3,88 €",,,
167,"
Queso provolone dulce Auricchio Hispano Italiana 200 g","
 200 G |
16,50 €/kg","3,30 €",,,
168,,,,,,
169,"
Queso fresco de Burgos Carrefour 150 g aprox","
 Envase De 150.0 G. Aprox |
6,95 €/kg","1,04 €",,,
170,"
Queso fresco villalón Carrefour 150 g aprox","
 Envase De 150.0 G. Aprox |
6,95 €/kg","1,04 €",,,
171,"
Queso tierno barra Larsa al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
10,95 €/kg","1,64 €",,,
172,"
Queso barra havarti 60% lonchas Juan Luna al corte 200 g aprox","
 Envase De 200.0 G. Aprox |
13,20 €/kg","2,64 €",,,
173,"
Queso tierno en barra El Ventero al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
12,10 €/kg","1,81 €",,,
174,"
Queso fresco de vaca semigraso de Burgos Angulo 150 g aprox","
 Envase De 150.0 G. Aprox |
8,50 €/kg","1,27 €",,,
175,"
Queso de barra emmental Juan Luna 300 g aprox","
 Envase De 300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
176,"
Dulce de membrillo Santa Teresa 200 g aprox","
 Envase De 200.0 G. Aprox |
11,95 €/kg","2,39 €",,,
177,"
Queso de barra edam Carrefour 300 g aprox","
 Envase De 300.0 G. Aprox |
9,25 €/kg","2,77 €",,,
178,"
Queso fresco cincho Carrefour al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
7,80 €/kg","1,17 €",,,
179,"
Requesón de cabra tradicional Cabrelx 200 g aprox","
 Envase De 200.0 G. Aprox |
5,95 €/kg","1,19 €",,,
180,"
Queso fresco de cabra cincho con sal Angulo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
12,45 €/kg","1,87 €",,,
181,"
Queso de cabra fresco Caprillice 150 g aprox","
 Envase De 150.0 G. Aprox |
12,95 €/kg","1,94 €",,,
182,"
Queso mozzarela de barra Arla Finello 150 g aprox","
 Envase De 150.0 G. Aprox |
13,30 €/kg","1,99 €",,,
183,"
Tarta de queso 200 g aprox","
 Envase De 200.0 G. Aprox |
7,95 €/kg","1,59 €",,,
184,"
Queso de barra gouda 300 g aprox","
 Envase De 300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
185,"
Queso fresco de oveja Flor de Esgueva al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
13,25 €/kg","1,99 €",,,
186,"
Queso de barra de mezcla 150 g aprox","
 150 G Aprox 150.0 G. Aprox |
8,95 €/kg","1,34 €",,,
187,,,,,,
188,"
Queso de bola edam tierno 300 g aprox","
 Envase De 300.0 G. Aprox |
11,10 €/kg","3,33 €",,,
189,"
Queso de barra emmental Juan Luna 300 g aprox","
 Envase De 300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
190,"
Queso rulo de cabra President 200 g aprox","
 Envase De 200.0 G. Aprox |
19,40 €/kg","3,88 €",,,
191,"
Queso de barra edam Carrefour 300 g aprox","
 Envase De 300.0 G. Aprox |
9,25 €/kg","2,77 €",,,
192,"
Queso de vaca chaumes madurado graso Arias 200 g aprox","
 Envase De 200.0 G. Aprox |
22,95 €/kg","4,59 €",,,
193,"
Queso maasdam madurado graso Juan Luna al corte 300 g aprox","
 Envase De 300.0 G. Aprox |
10,99 €/kg","3,30 €",,,
194,"
Queso azul cremoso extragraso Cantorel al corte 150 g aprox","
 150 G 150.0 G. Aprox |
13,70 €/kg","2,05 €",,,
195,"
Queso mozzarela de barra Arla Finello 150 g aprox","
 Envase De 150.0 G. Aprox |
13,30 €/kg","1,99 €",,,
196,"
Queso de barra gouda 300 g aprox","
 Envase De 300.0 G. Aprox |
9,95 €/kg","2,98 €",,,
197,"
Queso gouda madurado graso Juan Luna 300 g aprox","
 Envase De 300.0 G. Aprox |
10,45 €/kg","3,13 €",,,
198,"
Queso de vaca emmental madurado de Francia Breton Rueda cuña de 300 g aprox","
 Envase De 300.0 G. Aprox |
12,85 €/kg","3,85 €",,,
199,"
Queso Parmigiano Reggiano forma IGP 22 meses curación Hispano al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
31,90 €/kg","4,78 €",,,
200,"
Queso de oveja roquefort 150 g aprox","
 Envase De 150.0 G. Aprox |
30,80 €/kg","4,62 €",,,
201,"
Rulo de queso cabra madurado con moho Carrefour 200 g aprox","
 Envase De 200.0 G. Aprox |
13,50 €/kg","2,70 €",,,
202,,,,,,
203,"
Queso fresco villalón Carrefour 150 g aprox","
 Envase De 150.0 G. Aprox |
6,95 €/kg","1,04 €",,,
204,"
Queso barra havarti 60% lonchas Juan Luna al corte 200 g aprox","
 Envase De 200.0 G. Aprox |
13,20 €/kg","2,64 €",,,
205,"
Queso tierno en barra El Ventero al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
12,10 €/kg","1,81 €",,,
206,"
Queso fresco de vaca semigraso de Burgos Angulo 150 g aprox","
 Envase De 150.0 G. Aprox |
8,50 €/kg","1,27 €",,,
207,"
Queso fresco cincho Carrefour al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
7,80 €/kg","1,17 €",,,
208,"
Queso azul Valdeón De Nuestra Tierra al corte 250 g aprox","
 250 G 250.0 G. Aprox |
17,50 €/kg","4,37 €",,,
209,"
Queso fresco de oveja Flor de Esgueva al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
13,25 €/kg","1,99 €",,,
210,"
Queso de cabra semicurado graso Peñagorda al corte 200 g aprox","
 200 G 200.0 G. Aprox |
18,50 €/kg","3,70 €",,,
211,"
Queso puro de oveja viejo leche cruda Campo Real al corte 300 g aprox","
 300 G 300.0 G. Aprox |
15,25 €/kg","4,57 €",,,
212,"
Queso de oveja tierno graso 300 g aprox","
 Envase De 300.0 G. Aprox |
13,95 €/kg","4,18 €",,,
213,"
Queso curado de oveja con boletus Vegasotuelamos al corte, 280 g aprox","
 Envase De 280.0 G. Aprox |
29,50 €/kg","8,26 €",,,
214,,,,,,
215,"
Queso camembert Caprice Des Dieux 200 g","
 Pieza De |
20,75 €/kg","4,15 €",,,
216,"
Queso comté D.O.P. 5 meses curación Carrefour cuña 250 g","
 Cuña De |
16,40 €/kg","4,10 €",,,
217,"
Queso Tetilla D.O.P. Central Lechera Gallega pieza 700 g","
 Pieza De |
7,86 €/kg","5,50 €",,,
218,"
Queso idiazábal de oveja viejo 200 g aprox","
 Envase De  200.0 G. Aprox |
21,90 €/kg","4,38 €",,,
219,"
Queso curado de cabra graso corteza al pimentón Villuerca El Consorcio de Quesos 1/2 pieza 300 g aprox","
 Pieza De 300.0 G. Aprox |
18,90 €/kg","5,67 €",,,
220,"
Queso puro de oveja D.O.P. Idiazabal De Nuestra Tierra cuña 1/8, 300 g","
 Cuña De 300.0 G. Aprox |
22,95 €/kg","6,88 €",,,
221,"
Queso Gallego D.O.P. Tetilla De Nuestra Tierra pieza 550 g","
 Pieza De 550.0 G. Aprox |
11,90 €/kg","6,54 €",,,
222,"
Queso cremoso gallego Central Lechera Gallega pieza 700 g","
 Pieza De |
7,86 €/kg","5,50 €",,,
223,"
Queso de oveja añejo De Nuestra Tierra cuña 200 g","
 200 G |
14,75 €/kg","2,95 €",,,3x2
224,"
Queso rulo de cabra madurado con moho Carrefour 360 g","
 Pieza De |
12,50 €/kg","4,50 €",,,
225,"
Queso cremoso de vaca sin lactosa Central Lechera Gallega pieza 700 g","
 700 Gr. |
8,14 €/kg","5,70 €",,,
226,"
Queso comté D.O.P. Montarlier 6 meses curación President pieza 220 g","
 Pieza De |
23,18 €/kg","5,10 €",,,
227,"
Queso de vaca D.O.P. Arzúa Úlloa De Nuestra Tierra pieza 1 K","
 Pieza De 1000.0 G. Aprox |
11,90 €/kg","11,90 €",,,
228,"
Queso de oveja añejo D.O.P Zamorano De Nuestra Tierra 250 g","
 250 G |
15,80 €/kg","3,95 €",,,3x2
229,"
Queso Brie con azul Millán Vicente cuña 250 g","
 Cuña De 250.0 G. Aprox |
12,90 €/kg","3,22 €",,,
230,"
Queso de oveja añejo De Nuestra Tierra 1/4 de pieza 750 g aprox","
 Envase De 750.0 G. Aprox |
12,95 €/kg","9,71 €",,,
231,"
Queso puro de oveja viejo D.O. Manchego mini Don Bernardo Oro cuña 1/8, 250 g","
 Cuña De |
19,00 €/kg","4,75 €",,,
232,"
Rulo de queso de cabra madurado con moho 180 g","
 180 G |
12,50 €/kg","2,25 €",,,
233,"
Queso Torta del Casar pequeña D.O El Consorcio de Quesos 300 g aprox","
 Pieza De  300.0 G. Aprox |
29,90 €/kg","8,97 €",,,
234,"
Queso madurado Gallego D.O.P ahumado San simón Da Costa De Nuestra tierra pieza 1,1 Kg aprox","
 Envase De 1100.0 G. Aprox |
14,95 €/kg","16,44 €",,,
